Location:,Mesa West,
Type:,Open,
Easting:,741161,
Northing:,4324240,
Surveyor:,J. Lund,
Time:,4/8/20 16:51,
Time Type:,PM,
Air Temp:,3.7,
Hs:,133,
Ground:,"Grass 10-15cm, smooth.",
Notes:,"Several days now of warm weather. Snow is near isothermal. Lots of ponding in density cuts, but m/f layers (which collect water) were not as thick as at Skyway. Cooling off as we near 6pm. Top 3cm layer of refreeze.",
Wx:,Warm! Calm. Clear.,
,,
Hs,Temperature,Notes
133,-0.2,
130,-0.2,
120,-0.2,
110,-0.2,
100,-0.3,
90,-0.7,
80,-0.8,
70,-1,
60,-1,
50,-1,
40,-0.9,
30,-0.7,
20,-0.6,
10,-0.5,
0,-0.3,
