Location:,Skyway,
Type:,Open,
Easting:,754258,
Northing:,4325772,
Surveyor:,J. Lund,
Time:,4/21/20 17:26,
Time Type:,PM,
Air Temp:,1.4,
Hs:,109,
Ground:,Grass ~35cm,
Notes:,"Permittivity @104: 18:04: 2.028, 1.984. @18:20: 1.505, 1.628-- clouds coming in again, cooling.",
Wx:,"Clearing, sun shining through the clouds. By 18:20 the clouds came in again, cooled off.",
,,
Hs,Temperature,Notes
109,-0.1,
100,-0.1,
90,-0.5,
80,-0.5,
70,-0.6,
60,-0.3,
50,-0.2,
40,-0.2,
30,-0.2,
20,-0.2,
10,-0.2,
0,-0.2,
