Location:,Skyway,
Type:,Trees,
Easting:,754184,
Northing:,4326540,
Surveyor:,J. Lund,
Time:,4/1/20 10:00,
Time Type:,AM,
Air Temp:,-0.6,
Hs:,131,
Ground:,Smooth.,
Notes:,Trees 20-70%. This area in the trees seems protected and there is not an indication of surface melt yesterday (nor old melt/freeze crusts). Temperatures 10:00-10:12.,
Wx:,"Mostly sunny, calm. Clouds <1/4 of sky.",
,,
Hs,Temperature,Notes
134,-4.8,
130,-5.4,
120,-5.2,
110,-4.5,
100,-4,
90,-3.7,
80,-3.3,
70,-3.1,
60,-2.8,
50,-2.6,
40,-2.3,
30,-2.1,
20,-1.8,
10,-1.5,
0,-1.2,
