,site_name,date,time_created,time_updated,id,doi,date_accessed,instrument,type,units,surveyors,latitude,longitude,northing,easting,elevation,utm_zone,geom,time,depth,site_id,bottom_depth,comments,sample_a,sample_b,sample_c,value,veg_class,depth_class,...
0,Grand Mesa,2020-02-05,2021-06-01 18:41:20.933098+00:00,,4270,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.016973785550334,-108.18091067977153,4322442.0,744072.0,,12,POINT (744072 4322442),13:40:00-06:00,10.0,8S18,,,,,,-1.5,dense,medium,
1,Grand Mesa,2020-02-05,2021-06-01 18:41:20.934579+00:00,,4271,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.016973785550334,-108.18091067977153,4322442.0,744072.0,,12,POINT (744072 4322442),13:40:00-06:00,0.0,8S18,,,,,,-0.6,dense,medium,
2,Grand Mesa,2020-02-05,2021-06-01 18:41:21.221846+00:00,,4373,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.01947424229654,-108.19231383887319,4322689.0,743076.0,,12,POINT (743076 4322689),09:45:00-06:00,77.0,2S10,,,,,,-20.0,treeless,medium,
3,Grand Mesa,2020-02-05,2021-06-01 18:41:21.223467+00:00,,4374,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.01947424229654,-108.19231383887319,4322689.0,743076.0,,12,POINT (743076 4322689),09:45:00-06:00,70.0,2S10,,,,,,-19.3,treeless,medium,
4,Grand Mesa,2020-02-05,2021-06-01 18:41:21.224978+00:00,,4375,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.01947424229654,-108.19231383887319,4322689.0,743076.0,,12,POINT (743076 4322689),09:45:00-06:00,60.0,2S10,,,,,,-12.6,treeless,medium,
5,Grand Mesa,2020-02-05,2021-06-01 18:41:21.226313+00:00,,4376,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.01947424229654,-108.19231383887319,4322689.0,743076.0,,12,POINT (743076 4322689),09:45:00-06:00,50.0,2S10,,,,,,-8.2,treeless,medium,
6,Grand Mesa,2020-02-05,2021-06-01 18:41:21.227838+00:00,,4377,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.01947424229654,-108.19231383887319,4322689.0,743076.0,,12,POINT (743076 4322689),09:45:00-06:00,40.0,2S10,,,,,,-5.7,treeless,medium,
7,Grand Mesa,2020-02-05,2021-06-01 18:41:21.229417+00:00,,4378,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.01947424229654,-108.19231383887319,4322689.0,743076.0,,12,POINT (743076 4322689),09:45:00-06:00,30.0,2S10,,,,,,-4.5,treeless,medium,
8,Grand Mesa,2020-02-05,2021-06-01 18:41:21.230989+00:00,,4379,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.01947424229654,-108.19231383887319,4322689.0,743076.0,,12,POINT (743076 4322689),09:45:00-06:00,20.0,2S10,,,,,,-3.6,treeless,medium,
9,Grand Mesa,2020-02-05,2021-06-01 18:41:21.232333+00:00,,4380,https://doi.org/10.5067/DUD2VZEVBJ7S,2021-05-30,,temperature,,,39.01947424229654,-108.19231383887319,4322689.0,743076.0,,12,POINT (743076 4322689),09:45:00-06:00,10.0,2S10,,,,,,-2.7,treeless,medium,
