site_name,site_id,date,time,depth_cm,temperature_C,latitude,longitude,northing,easting,utm_zone,geom
Grand Mesa,8S18,2020-02-05,13:40:00-06:00,101.0,-13.1,39.016973785550334,-108.18091067977153,4322442.0,744072.0,12,POINT (744072 4322442)
Grand Mesa,2S10,2020-02-05,09:45:00-06:00,77.0,-20.0,39.01947424229654,-108.19231383887319,4322689.0,743076.0,12,POINT (743076 4322689)
Grand Mesa,8C36,2020-02-05,09:22:00-06:00,76.0,-20.6,39.008705579528055,-108.15466969163256,4321595.0,746373.0,12,POINT (746373 4321595)
Grand Mesa,1S13,2020-02-05,13:15:00-06:00,83.0,-16.7,39.01778927583502,-108.1900592880899,4322508.0,743277.0,12,POINT (743277 4322508)
Grand Mesa,8C35,2020-02-05,10:20:00-06:00,85.0,-11.1,39.0108127976124,-108.1572179669821,4321822.0,746145.0,12,POINT (746145 4321822)
Grand Mesa,6S22,2020-02-05,14:57:00-06:00,101.0,-16.6,39.02002156507067,-108.17135419472447,4322806.0,744889.0,12,POINT (744889 4322806)
Grand Mesa,8C18,2020-02-05,10:00:00-06:00,108.0,-14.6,39.03971900382905,-108.1897562223794,4324943.0,743228.0,12,POINT (743228 4324943)
Grand Mesa,8C11,2020-02-05,13:45:00-06:00,89.0,-18.7,39.053983689305454,-108.20413030239803,4326488.0,741935.0,12,POINT (741935 4326488)
Grand Mesa,9C16,2020-02-05,11:45:00-06:00,109.0,-9.9,39.044273047242626,-108.19705030687592,4325429.0,742581.0,12,POINT (742581 4325429)
Grand Mesa,2S9,2020-02-05,10:55:00-06:00,70.0,-17.2,39.021155386873886,-108.1921664521293,4322876.0,743083.0,12,POINT (743083 4322876)
Grand Mesa,8C29,2020-02-05,11:53:00-06:00,93.0,-15.5,39.02434415476524,-108.17202491491796,4323284.0,744816.0,12,POINT (744816 4323284)
Grand Mesa,1N20,2020-02-05,13:30:00-06:00,35.0,-18.1,39.0312618452441,-108.1894792555206,4324005.0,743281.0,12,POINT (743281 4324005)
Grand Mesa,6S15,2020-02-05,11:50:00-06:00,92.0,-16.6,39.016719012238525,-108.1834152292258,4322407.0,743856.0,12,POINT (743856 4322407)
Grand Mesa,8N9,2020-02-05,14:52:00-06:00,63.0,-18.1,39.0316069556034,-108.20045031172084,4324014.0,742330.0,12,POINT (742330 4324014)
Grand Mesa,2S4,2020-02-05,09:30:00-06:00,74.0,-20.5,39.01795133882625,-108.20128955330671,4322496.0,742304.0,12,POINT (742304 4322496)
Grand Mesa,7S50,2020-02-06,08:44:00-06:00,70.0,-10.3,39.01382846933047,-108.13394396377599,4322220.0,748150.0,12,POINT (748150 4322220)
Grand Mesa,5N15,2020-02-06,11:11:00-06:00,113.0,-7.0,39.03376271468748,-108.19194445748532,4324276.0,743059.0,12,POINT (743059 4324276)
Grand Mesa,9N30,2020-02-06,09:00:00-06:00,119.0,-9.9,39.030795694244674,-108.17615683123114,4323989.0,744436.0,12,POINT (744436 4323989)
Grand Mesa,6S53,2020-02-06,09:49:00-06:00,101.0,-7.6,39.016103179226185,-108.12461362348809,4322498.0,748950.0,12,POINT (748950 4322498)
Grand Mesa,7S23,2020-02-06,10:01:00-06:00,67.0,-9.7,39.01767476202538,-108.17117061216791,4322546.0,744913.0,12,POINT (744913 4322546)
Grand Mesa,2S20,2020-02-06,08:47:00-06:00,92.0,-9.7,39.01916109206897,-108.1763659741469,4322697.0,744458.0,12,POINT (744458 4322697)
Grand Mesa,8N33,2020-02-06,10:30:00-06:00,83.0,-8.2,39.030081913576225,-108.17124167361115,4323923.0,744864.0,12,POINT (744864 4323923)
Grand Mesa,6S32,2020-02-06,11:05:00-06:00,103.0,-9.1,39.016922651034186,-108.16468737945088,4322480.0,745477.0,12,POINT (745477 4322480)
Grand Mesa,2N13,2020-02-06,09:32:00-06:00,139.0,-8.8,39.03396562230527,-108.19625653404186,4324287.0,742685.0,12,POINT (742685 4324287)
Grand Mesa,8C22,2020-01-31,15:00:00-06:00,105.0,-6.4,39.028462143421415,-108.17577620250735,4323731.0,744477.0,12,POINT (744477 4323731)
Grand Mesa,2C6,2020-01-31,14:05:00-06:00,96.0,-6.0,39.059363041043746,-108.21319688285585,4327061.0,741132.0,12,POINT (741132 4327061)
Grand Mesa,1C7,2020-01-31,10:55:00-06:00,96.0,-10.8,39.058674053385666,-108.2103814150714,4326992.0,741378.0,12,POINT (741378 4326992)
Grand Mesa,2C3,2020-01-31,12:27:00-06:00,70.0,-5.7,39.0623264782272,-108.21732125824633,4327379.0,740765.0,12,POINT (740765 4327379)
Grand Mesa,2C9,2020-01-31,11:50:00-06:00,95.0,-9.6,39.05610705513412,-108.20814843914482,4326713.0,741580.0,12,POINT (741580 4326713)
Grand Mesa,1C8,2020-01-31,15:10:00-06:00,86.0,-7.2,39.057211177750546,-108.20911020484624,4326833.0,741493.0,12,POINT (741493 4326833)
