# Location,Grand Mesa
# Site,1C5
# PitID,COGM1C5_20200212
# Date/Local Time,2020-02-12T11:26
# UTM Zone,12N
# Easting,740919
# Northing,4327334
# Top (cm),Bottom (cm),Grain Size (mm),Grain Type,Hand Hardness,Manual Wetness,Comments
80.0,71.0,1-2 mm,PP,F,D,NaN
71.0,65.0,< 1 mm,RG,4F,D,"Wind crust at 72cm
1mm thick (RG < 1 mm)"
65.0,63.0,< 1 mm,RG,P,D,NaN
63.0,62.0,4-6 mm,PPGP,P,D,Graupel surrounded by < 1mm rounds
62.0,60.0,< 1 mm,RG,P,D,NaN
60.0,56.0,< 1 mm,RG,P,D,NaN
56.0,48.0,1-2 mm,RG,1F,D,NaN
48.0,27.0,1-2 mm,FC,4F,D,Rounded edges
27.0,18.0,< 1 mm,FC,1F,D,Rounded edges
18.0,0.0,2-4 mm,FC,F,D,Rounded edges
