Location:,Mesa West,
Type:,Open,
Easting:,741161,
Northing:,4324223,
Surveyor:,J. Lund,
Time:,4/9/20 6:50,
Time Type:,AM,
Air Temp:,-2.6,
Hs:,139,
Ground:,"Smooth, grass/shrubs ~15cm",
Notes:,"Water horizons @ 114, 110, 108, 105-95. Col @ surface, but who knows if -0.2 means lwc that will show up in the satellite?",
Wx:,"Clear, cold, calm/light breeze.",
,,
Hs,Temperature,Notes
139,-9.5,
130,-4.3,
120,-0.3,
110,-0.2,
100,-0.3,
90,-0.3,
80,-0.6,
70,-0.7,
60,-0.8,
50,-0.8,
40,-0.8,
30,-0.7,
20,-0.6,
10,-0.4,
0,-0.1,
