Location:,Skyway,
Type:,Trees,
Easting:,754048,
Northing:,4325618,
Surveyor:,J. Lund,
Time:,4/21/20 16:07,
Time Type:,PM,
Air Temp:,-0.2,
Hs:,101,
Ground:,"Grass ~10cm, shrubs ~30cm",
Notes:,Slight slope ~5 degrees facing west. I picked a very protected spot. Almost no signs of melt here.,
Wx:,"Light snow. Since 11AM snow, sleet, graupel. Calm. Warm.",
,,
Hs,Temperature,Notes
101,-1,
100,-1.3,
90,-2.6,
80,-3.3,
70,-3.4,
60,-3.3,
50,-3.2,
40,-3.1,
30,-2.8,
20,-2.7,
10,-2.5,
0,-2,
