Location:,Mesa West,
Type:,Open,
Easting:,741147,
Northing:,4324210,
Surveyor:,J. Lund,
Time:,3/31/20 16:30,
Time Type:,PM,
Air Temp:,6.9,
Hs:,161,
Ground:,"Rough, shrub ~25 cm",
Notes:,"Permittivity vertical @ surface: 2.233, 2.305",
Wx:,,
,,
Hs,Temperature,Notes
161,-0.2,
160,-0.2,
158,-0.2,
156,-0.2,
154,-0.4,
152,-0.8,
150,-1.4,
140,-3.2,
130,-3.2,
120,-2.8,
110,-2.6,
100,-2.6,
90,-2.4,
80,-2.2,
70,-1.8,
60,-1.6,
50,-1.3,
40,-1.1,
30,-0.8,
20,-0.7,
10,-0.6,
0,-0.3,
