Location:,Skyway,
Type:,Open,
Easting:,754287,
Northing:,4325780,
Surveyor:,J. Lund,
Time:,4/19/20 17:00,
Time Type:,PM,
Air Temp:,-0.1,
Hs:,130,
Ground:,"Smooth, shrubs ~30cm.",
Notes:,"Warm and sunny all day till about 16:00, then mostly cloudy with intermittent snow showers. Liquid water @130-114cm. There is a melt/freeze crust from 114-109 cm, maybe stopping the flow of water. ",
Wx:,"Mostly cloudy, very light snow. Warm/sunny again @ 17:45.",
,,
Hs,Temperature,Notes
130,-0.2,
120,-0.2,
110,-0.5,
100,-1,
90,-1.2,
80,-1.2,
70,-1.2,
60,-1.1,
50,-0.8,
40,-0.7,
30,-0.6,
20,-0.5,
10,-0.3,
0,-0.2,
