Location:,Skyway,
Type:,Trees,
Easting:,754199,
Northing:,4326551,
Surveyor:,J. Lund,
Time:,3/28/20 8:15,
Time Type:,AM,
Air Temp:,-13.9,
Hs:,114,
Ground:,"Smooth, frozen",
Notes:,Snowed >1ft last night! Cold. Sun came out @ 8:30. Multiple melt/freeze crusts in snowpack. ~70% canopy cover.,
Wx:,"Was snowing recently, stopping, sky clearing. Calm wind.",
,,
Hs,Temperature,Notes
113,-12.3,
110,-11.9,
100,-9.5,
90,-7,
80,-5.4,
70,-4.3,
60,-3.6,
50,-3.1,
40,-2.7,
30,-2.4,
20,-2.2,
10,-1.9,
0,-1.7,
