Location:,Skyway,
Type:,Trees,
Easting:,754180,
Northing:,4326531,
Surveyor:,J. Lund,
Time:,4/1/20 16:35,
Time Type:,PM,
Air Temp:,1.8,
Hs:,130,
Ground:,Smooth.,
Notes:,"Trees 20-70%. Snow is WET in top 5 cm, moist 5-10 cm. Temperatures 16:35-16:44.",
Wx:,"Overcast, moderate wind, light graupel. Broken sunshine. Clouds >1/2 of sky.",
,,
Hs,Temperature,Notes
130,-0.2,
129,-0.2,
128,-0.3,
127,-0.4,
126,-0.5,
125,-1.2,
120,-2.1,
110,-3.7,
100,-3.8,
90,-3.5,
80,-3.2,
70,-2.9,
60,-2.7,
50,-2.3,
40,-2.1,
30,-1.8,
20,-1.5,
10,-1.2,
0,-0.7,
